Index,Feature,Importance
649,jml_mean_charge_54,0.00031793356
412,jml_therm_cond_divi_first_ion_en,0.00031701635
1107,jml_adf1_34,0.00031627575
1133,jml_adf1_60,0.00031532522
26,avg_Column,0.0003144654
1522,jml_ddf_91,0.00031336874
1639,jml_nn_29,0.00031274947
679,jml_mean_charge_84,0.00031077507
156,jml_elec_aff_mult_voro_coord,0.00031062742
605,jml_mean_charge_10,0.00031014945
439,jml_bp_divi_hfus,0.00030952672
374,jml_atom_rad_subs_first_ion_en,0.00030808354
1236,jml_adf1_163,0.00030733878
551,jml_voro_coord_subs_first_ion_en,0.0003069108
256,jml_mol_vol_subs_therm_cond,0.00030645533
1373,jml_adf2_121,0.00030578242
214,jml_first_ion_en,0.00030534135
58,dev_NpUnfilled,0.0003051264
1131,jml_adf1_58,0.00030314198
163,jml_voro_coord_subs_mp,0.00030308403
1216,jml_adf1_143,0.00030251936
629,jml_mean_charge_34,0.00030236386
1145,jml_adf1_72,0.00030201167
1156,jml_adf1_83,0.00030134982
322,jml_first_ion_en_divi_therm_cond,0.000301169
69,range_MeltingT,0.0003003418
350,jml_polzbl_divi_bp,0.00030004664
901,jml_mean_charge_306,0.00029983092
436,jml_atom_rad_divi_mp,0.00029974635
461,jml_voro_coord_subs_elec_aff,0.00029876595
1657,jml_nn_47,0.00029834022
1222,jml_adf1_149,0.00029657368
1046,jml_rdf_73,0.0002962485
1440,jml_ddf_9,0.00029569463
1640,jml_nn_30,0.0002952222
1667,jml_nn_57,0.00029463542
1248,jml_adf1_175,0.00029430233
410,jml_polzbl_add_voro_coord,0.00029426793
1232,jml_adf1_159,0.00029312988
1165,jml_adf1_92,0.00029309257
1281,jml_adf2_29,0.00029189035
38,avg_NfUnfilled,0.00029129788
1402,jml_adf2_150,0.0002909337
1686,jml_nn_76,0.00028831084
1308,jml_adf2_56,0.0002860889
1266,jml_adf2_14,0.0002853217
538,jml_voro_coord_divi_hfus,0.00028476526
235,jml_atom_mass_subs_mp,0.0002845014
477,jml_atom_rad_subs_elec_aff,0.0002841034
995,jml_rdf_22,0.00028359875
504,jml_mol_vol_mult_voro_coord,0.00028335454
1034,jml_rdf_61,0.00028326674
460,jml_polzbl_divi_mol_vol,0.00028267098
1679,jml_nn_69,0.00028123587
578,jml_voro_coord_subs_mol_vol,0.00028096797
1392,jml_adf2_140,0.00028037588
1207,jml_adf1_134,0.0002797607
475,jml_elec_aff_subs_polzbl,0.00027951668
51,dev_Electronegativity,0.00027903714
1043,jml_rdf_70,0.00027886013
933,jml_mean_charge_338,0.0002788275
368,jml_atom_mass_mult_atom_rad,0.00027799225
65,dev_SpaceGroupNumber,0.0002779738
579,jml_elec_aff_add_mol_vol,0.0002765234
1044,jml_rdf_71,0.00027556394
1280,jml_adf2_28,0.0002751556
999,jml_rdf_26,0.0002745011
622,jml_mean_charge_27,0.00027447028
566,jml_polzbl_mult_elec_aff,0.00027351052
22,avg_Number,0.0002733802
1697,jml_nn_87,0.00027318907
1247,jml_adf1_174,0.00027306678
624,jml_mean_charge_29,0.00027236366
642,jml_mean_charge_47,0.00027234436
324,jml_mol_vol_subs_bp,0.00027217588
1218,jml_adf1_145,0.00027036728
346,jml_atom_mass_divi_polzbl,0.0002698962
1050,jml_rdf_77,0.00026972548
727,jml_mean_charge_132,0.00026811316
300,jml_hfus_divi_voro_coord,0.0002679697
179,jml_C-2,0.00026789476
1659,jml_nn_49,0.0002664057
495,jml_X_mult_voro_coord,0.00026638337
1049,jml_rdf_76,0.0002662676
1649,jml_nn_39,0.00026547507
558,jml_voro_coord_divi_mp,0.00026466965
673,jml_mean_charge_78,0.00026426412
1355,jml_adf2_103,0.0002642199
1240,jml_adf1_167,0.00026388615
246,jml_hfus_mult_first_ion_en,0.0002630309
542,jml_therm_cond_divi_bp,0.0002629129
1333,jml_adf2_81,0.00026202458
1575,jml_ddf_144,0.00026109786
